stt,x,y,x_e1,y_e1,x_e2,y_e2,e1,e2,,,,Ảnh nằm,,x_calib,y_calib,x_calib_err,y_calib_err,err,,,,Ảnh đứng,,x_calib_er,y_calib_err,err
1,60,220,6.26,40.78,2.61,27.89,41.26,28.01,,,,,1,43.5,222.1,16.5,16.5,16.63,,,,,1,13.6,13.1,18.88
2,30,220,2.59,34.96,4.82,23.47,35.06,23.96,,,,,2,11.2,218.1,18.8,18.8,18.9,,,,,2,12.5,8.1,14.89
3,0,220,2.64,37.82,3.29,20.45,37.91,20.71,,,,,3,-13.4,215,13.4,13.4,14.3,,,,,3,8.4,10.1,13.14
4,-180,220,29.52,38.72,20.59,25.28,48.69,32.6,,,,,4,-184.7,217.7,4.7,4.7,5.23,,,,,4,11.8,9,14.84
5,-180,180,33.73,40.47,32.94,26.33,52.68,42.17,,,,,5,-196.9,183.9,16.9,16.9,17.34,,,,,5,17.1,16.5,23.76
6,120,220,16.36,39.62,11.21,14.51,42.86,18.34,,,,,6,87.5,210.8,32.5,32.5,33.78,,,,,6,16.2,12.2,20.28
7,150,220,17.95,39.99,18.34,25.78,43.83,31.64,,,,,7,163.8,220.5,13.8,13.8,13.81,,,,,7,13,12.3,17.9
8,-60,190,17.13,34.84,14.45,30.25,38.82,33.52,,,,,8,-75.7,197.1,15.7,15.7,17.23,,,,,8,18,11,21.1
9,60,190,4.68,33.45,1.29,24.15,33.78,24.18,,,,,9,42.8,193,17.2,17.2,17.46,,,,,9,14.4,11.1,18.18
10,150,100,26.33,15.92,12.99,9.84,30.77,16.3,,,,,10,133.8,100.5,16.2,16.2,16.21,,,,,10,4.8,6.5,8.08
11,100,120,12.27,15.98,9.75,15.33,20.15,18.17,,,,,11,86.7,123.2,13.3,13.3,13.68,,,,,11,11.1,3.9,11.77
12,130,130,21.13,20.61,18.75,17.6,29.52,25.72,,,,,12,120.2,137.4,9.8,9.8,12.28,,,,,12,7.7,7.6,10.82
13,-70,130,22.81,16.64,14.88,13.83,28.23,20.31,,,,,13,-85.5,129,15.5,15.5,15.53,,,,,13,22.5,1.4,22.54
14,-100,160,27.88,27.51,27.31,25.21,39.17,37.17,,,,,14,-122.4,165.8,22.4,22.4,23.14,,,,,14,22.9,7.7,24.16
15,100,190,17.96,28.71,6.45,19.91,33.86,20.93,,,,,15,81.8,189.5,18.2,18.2,18.21,,,,,15,7.2,7.4,10.32
16,-75,130,29.32,19.74,17.25,16.73,35.35,24.03,,,,,16,-91.9,131.5,16.9,16.9,16.97,,,,,16,27.6,4,27.89
17,-75,220,16.41,43.03,13.81,23.43,46.05,27.2,,,,,17,-87.9,216.7,12.9,12.9,13.32,,,,,17,15,13.6,20.25
18,90,220,8.54,35.63,1.92,18.46,36.64,18.56,,,,,18,65.5,214.1,24.5,24.5,25.2,,,,,18,15.8,8.8,18.09
19,120,250,13.13,36,3.82,15.04,38.32,15.52,,,,,19,115.8,236.7,4.2,4.2,13.95,,,,,19,10.4,4.1,11.18
20,120,220,12.87,36.53,3.58,19.58,38.73,19.9,,,,,20,109.8,215,10.2,10.2,11.36,,,,,20,11.7,9.7,15.2
